year,genres,profitable
2022,Fantasy-Action-Adventure,303.5
2008,Animation-Fantasy-Family,385.641035509182
2016,Romance-Comedy,963.6673334027778
2001,Animation-Family-Fantasy,1346.9741842105263
2013,Fantasy-Action-Adventure-Family,1.3782579487179487
1997,Action-Adventure-Family-Fantasy-Science Fiction-Thriller,79.79739000000001
1976,Crime-Drama,1257.307812445981
2013,Horror-Thriller-Adventure,153.32898
2010,Action-Comedy-Thriller-Romance,30.879950666666666
2012,Thriller-Drama,340.1938044444444
1991,Comedy-Drama,1854.7015133169934
2000,Drama-Horror-Mystery-Thriller,191.420351
2001,Science Fiction-Drama,4.8232083333333335
2008,Action-Adventure-Comedy,128.96728
1966,Drama-Science Fiction,33.33333333333333
1990,Action-Crime-Drama-Thriller,116.33874
2003,Drama-Comedy-Crime,232.5603869565217
2015,Action-Mystery-Drama,1.9607843137254901
1935,Comedy-Drama-Romance,125.14619883040936
2006,Music,900.0
2021,Comedy-Horror-Mystery,100.0
2017,Crime-Thriller,50.0
2010,Horror-Thriller,3412.884012345679
2012,Action-Adventure,256.95627708333336
2011,Drama-Thriller-Horror,159.58819729729728
2016,Action-Adventure-Drama,43.46898956521739
2016,Adventure-Comedy-Family-Animation,360.573648
2015,Drama-Crime-History,86.48655094339622
1986,War-Action-Comedy-Drama,184.82677999999999
2009,Drama-Thriller-Crime-Mystery,741.7070076923077
2009,Drama-Thriller,269.1517
1996,Romance-Comedy-Drama,270.5276333333333
2012,Fantasy-Drama-Comedy-Family,124.050568
1988,Comedy-Horror,48.48264516129032
2008,Drama-History,17.555633466135458
1983,Crime-Drama-Thriller,58.752035398230085
1930,Drama-War-Action,102.53164556962024
1934,Drama-Romance,35.84142478172406
2009,Crime-Documentary,10.0
2018,Horror-Mystery-Thriller,648.3912333333334
2014,Science Fiction-Action-Drama-Thriller,318.02621529411766
2016,Action-Horror-Thriller,1007.9248
2014,Crime-Comedy-Action,276.883228
1985,Action-Adventure-Thriller-War,582.7282545454545
2004,Comedy-Drama-Family-Romance,236.8362025
1999,Drama-Thriller-Mystery,149.37108923076923
1999,Comedy,98.0701253130399
2017,Action-Comedy-Crime-Drama,67.08139655172414
2001,Family-Comedy,55.625251666666664
1976,Horror-Thriller,1926.799246031746
1994,Adventure-Drama-Romance-War-Western,435.4629433333334
1987,Action-Adventure-Thriller,377.9647425
2007,Comedy-Romance-Drama,278.8461369285714
2000,Drama-Romance,1770.7574670286206
2008,Action-Adventure-Science Fiction-Thriller,3.0122971428571432
2004,Drama-Music,211.82883499999997
2000,Family-Comedy,116.01384823529412
