title,genres,profitable,rank
Angel Town,Action,99994.73684210527,1
The Fight,Action,8900.0,2
Wanderlei Silva fighting for PRIDE,Action,6900.0,3
Death Wish II,Action,2150.0,4
Good Guys Wear Black,Action,1730.0,5
Fortnite the Movie Part One,Action-Adventure,1.6666566666666666E7,1
Fortnite: The Final Chapter,Action-Adventure,9999900.0,2
Kickboxer 2: The Road Back,Action-Adventure,1405194.3820224719,3
The Flash - A New Beginning,Action-Adventure,1494.0000000000002,4
Pulimurugan,Action-Adventure,1326.3157894736842,5
Kung Fu Panda 3,Action-Adventure-Animation-Comedy-Family,259.4281551724138,1
The Lego Movie 2: The Second Part,Action-Adventure-Animation-Comedy-Family,94.40029292929293,2
The Incredibles,Action-Adventure-Animation-Family,586.3501,1
Incredibles 2,Action-Adventure-Animation-Family,521.4026795,2
Kung Fu Panda,Action-Adventure-Animation-Family-Comedy,385.95735384615386,1
Spider-Man: Into the Spider-Verse,Action-Adventure-Animation-Science Fiction,317.26759000000004,1
Battle for Terra,Action-Adventure-Animation-Science Fiction,52.52615,2
Justice League: The New Frontier,Action-Adventure-Animation-Science Fiction-Family,49.4608,1
9,Action-Adventure-Animation-Science Fiction-Thriller,61.426876666666665,1
Smokey and the Bandit,Action-Adventure-Comedy,2847.382046511628,1
Deadpool,Action-Adventure-Comedy,1250.1724137931035,2
Johnny English Strikes Again,Action-Adventure-Comedy,533.027972,3
Any Which Way You Can,Action-Adventure-Comedy,371.24896,4
Arabian Nights,Action-Adventure-Comedy,281.69204157985774,5
"It's a Mad, Mad, Mad, Mad World",Action-Adventure-Comedy-Crime,538.2978723404256,1
Action Jackson,Action-Adventure-Comedy-Crime-Drama,189.38535714285715,1
The Incident,Action-Adventure-Comedy-Crime-Drama-Family-Science Fiction-Mystery-Romance,17516.0,1
Lethal Weapon 2,Action-Adventure-Comedy-Crime-Thriller,811.415944,1
Charlie's Angels,Action-Adventure-Comedy-Crime-Thriller,187.0712445652174,2
Lethal Weapon 4,Action-Adventure-Comedy-Crime-Thriller,103.88900214285715,3
RED,Action-Adventure-Comedy-Crime-Thriller,23.56027931034483,4
Moon Men,Action-Adventure-Comedy-Documentary-Horror-Thriller-Science Fiction,18233.333333333336,1
Air America,Action-Adventure-Comedy-Drama,64.85714285714286,1
D'Unbelievables D'Telly,Action-Adventure-Comedy-Drama-Music,150.0,1
The General,Action-Adventure-Comedy-Drama-War,33.33333333333333,1
Maverick,Action-Adventure-Comedy-Drama-Western,144.041696,1
Paul Blart: Mall Cop,Action-Adventure-Comedy-Family,604.9735807692308,1
Popeye,Action-Adventure-Comedy-Family,149.115185,2
Agent Cody Banks,Action-Adventure-Comedy-Family,109.98505,3
Inspector Gadget,Action-Adventure-Comedy-Family,79.2,4
Night at the Museum,Action-Adventure-Comedy-Family-Fantasy,422.25531,1
The Stronghold,Action-Adventure-Comedy-Family-Fantasy-History,37.2983,1
Teenage Mutant Ninja Turtles III,Action-Adventure-Comedy-Family-Fantasy-Science Fiction,101.3029,1
