genres,month,popularity
Action,1,13872.503999999908
Action-Action-Thriller,1,6.212
Action-Adventure,1,8448.175999999989
Action-Adventure-Animation,1,217.75700000000003
Action-Adventure-Animation-Comedy,1,27.088
Action-Adventure-Animation-Comedy-Crime-TV Movie,1,2.515
Action-Adventure-Animation-Comedy-Drama-Fantasy-Romance-Science Fiction,1,1.4
Action-Adventure-Animation-Comedy-Family,1,118.6
Action-Adventure-Animation-Comedy-Romance,1,45.672
Action-Adventure-Animation-Comedy-Science Fiction,1,2.252
Action-Adventure-Animation-Crime,1,16.463
Action-Adventure-Animation-Crime-Mystery,1,24.708
Action-Adventure-Animation-Crime-Science Fiction,1,4.631
Action-Adventure-Animation-Documentary-Family-History,1,7.275
Action-Adventure-Animation-Drama,1,29.312
Action-Adventure-Animation-Drama-Fantasy,1,1.183
Action-Adventure-Animation-Family,1,256.317
Action-Adventure-Animation-Family-Comedy,1,112.71000000000001
Action-Adventure-Animation-Family-Comedy-TV Movie,1,12.022
Action-Adventure-Animation-Family-Fantasy,1,19.994999999999997
Action-Adventure-Animation-Family-Fantasy-Science Fiction,1,4.606
Action-Adventure-Animation-Family-Science Fiction,1,8.291
Action-Adventure-Animation-Family-Science Fiction-Fantasy,1,8.615
Action-Adventure-Animation-Family-TV Movie,1,6.611000000000001
Action-Adventure-Animation-Fantasy,1,116.555
Action-Adventure-Animation-Fantasy-Science Fiction,1,80.534
Action-Adventure-Animation-Fantasy-Science Fiction-War,1,4.015000000000001
Action-Adventure-Animation-Fantasy-TV Movie,1,4.303
Action-Adventure-Animation-History,1,17.192
Action-Adventure-Animation-Horror,1,32.481
Action-Adventure-Animation-Horror-Fantasy-Drama,1,1.074
Action-Adventure-Animation-Science Fiction,1,200.423
Action-Adventure-Animation-Science Fiction-Drama,1,44.358
Action-Adventure-Animation-Science Fiction-Family,1,36.855
Action-Adventure-Animation-Science Fiction-Thriller,1,47.004
Action-Adventure-Animation-Science Fiction-War,1,1.696
Action-Adventure-Animation-TV Movie,1,12.038
Action-Adventure-Animation-War-Science Fiction,1,16.496
Action-Adventure-Comedy,1,1195.0460000000016
Action-Adventure-Comedy-Animation,1,18.845
Action-Adventure-Comedy-Animation-Drama-Family-Fantasy-Science Fiction,1,1.101
Action-Adventure-Comedy-Animation-Fantasy,1,2.42
Action-Adventure-Comedy-Crime,1,44.025999999999996
Action-Adventure-Comedy-Crime-Animation,1,9.258
Action-Adventure-Comedy-Crime-Drama,1,24.616
Action-Adventure-Comedy-Crime-Drama-Family-Science Fiction-Mystery-Romance,1,1.4
Action-Adventure-Comedy-Crime-Drama-Romance-War,1,2.296
Action-Adventure-Comedy-Crime-Drama-Thriller,1,24.35
Action-Adventure-Comedy-Crime-Family,1,3.431
Action-Adventure-Comedy-Crime-Horror-Thriller,1,9.428
Action-Adventure-Comedy-Crime-Music,1,2.291
Action-Adventure-Comedy-Crime-Music-Mystery-Romance,1,1.091
Action-Adventure-Comedy-Crime-Mystery-Romance,1,1.4
Action-Adventure-Comedy-Crime-Romance,1,5.086
Action-Adventure-Comedy-Crime-Science Fiction-Thriller,1,4.641
Action-Adventure-Comedy-Crime-Thriller,1,138.451
Action-Adventure-Comedy-Documentary-Drama,1,1.509
Action-Adventure-Comedy-Drama,1,63.59
Action-Adventure-Comedy-Drama-Animation,1,26.93
Action-Adventure-Comedy-Drama-Family,1,2.135
Action-Adventure-Comedy-Drama-Family-Mystery-Thriller,1,3.728
Action-Adventure-Comedy-Drama-Family-Romance,1,7.988
Action-Adventure-Comedy-Drama-Family-Thriller,1,3.859
Action-Adventure-Comedy-Drama-Fantasy,1,21.694000000000003
Action-Adventure-Comedy-Drama-Fantasy-Animation,1,77.943
Action-Adventure-Comedy-Drama-Fantasy-Romance,1,16.187
Action-Adventure-Comedy-Drama-Horror,1,4.878
Action-Adventure-Comedy-Drama-Music,1,1.555
Action-Adventure-Comedy-Drama-Mystery,1,16.926
Action-Adventure-Comedy-Drama-Romance,1,17.269
Action-Adventure-Comedy-Drama-Romance-Western-Music,1,1.942
Action-Adventure-Comedy-Drama-Science Fiction-Mystery,1,1.02
Action-Adventure-Comedy-Drama-Science Fiction-Thriller,1,3.372
Action-Adventure-Comedy-Drama-Thriller,1,2.938
Action-Adventure-Comedy-Drama-War,1,10.972
Action-Adventure-Comedy-Drama-Western,1,17.662
Action-Adventure-Comedy-Family,1,275.6039999999999
Action-Adventure-Comedy-Family-Fantasy,1,32.165
Action-Adventure-Comedy-Family-Fantasy-History,1,12.698
Action-Adventure-Comedy-Family-Fantasy-Science Fiction,1,24.015
Action-Adventure-Comedy-Family-Science Fiction,1,113.46600000000001
Action-Adventure-Comedy-Family-Thriller,1,5.275
Action-Adventure-Comedy-Fantasy,1,116.657
Action-Adventure-Comedy-Fantasy-Animation,1,294.377
Action-Adventure-Comedy-Fantasy-Family,1,9.501
Action-Adventure-Comedy-Fantasy-Mystery,1,12.329
Action-Adventure-Comedy-Fantasy-Romance-Animation,1,92.265
Action-Adventure-Comedy-Fantasy-Science Fiction,1,9.918
Action-Adventure-Comedy-Fantasy-Science Fiction-Thriller,1,18.201
Action-Adventure-Comedy-History,1,186.282
Action-Adventure-Comedy-Horror,1,13.146
Action-Adventure-Comedy-Horror-Science Fiction,1,83.636
Action-Adventure-Comedy-Horror-Science Fiction-Thriller,1,33.464
Action-Adventure-Comedy-Mystery,1,9.503
Action-Adventure-Comedy-Romance,1,6647.729000000001
Action-Adventure-Comedy-Romance-Western,1,1.999
Action-Adventure-Comedy-Science Fiction,1,1941.646
Action-Adventure-Comedy-Science Fiction-Animation,1,13.248000000000001
Action-Adventure-Comedy-Science Fiction-Crime,1,141.8
Action-Adventure-Comedy-Science Fiction-Thriller,1,2.594
Action-Adventure-Comedy-Science Fiction-Western,1,19.885
Action-Adventure-Comedy-TV Movie,1,24.849
Action-Adventure-Comedy-TV Movie-Science Fiction-Fantasy,1,3.388
Action-Adventure-Comedy-Thriller,1,82.73499999999999
Action-Adventure-Comedy-War,1,2.263
Action-Adventure-Comedy-Western,1,38.243
Action-Adventure-Comedy-Western-TV Movie,1,2.65
Action-Adventure-Crime,1,561.3879999999998
Action-Adventure-Crime-Drama,1,80.17599999999999
Action-Adventure-Crime-Drama-Family-Mystery-Thriller,1,1.4
Action-Adventure-Crime-Drama-Horror-Mystery-Thriller,1,7.438
Action-Adventure-Crime-Drama-Mystery-Romance,1,1.091
Action-Adventure-Crime-Drama-Mystery-Thriller,1,8.421
Action-Adventure-Crime-Drama-Mystery-Thriller-TV Movie,1,4.775
Action-Adventure-Crime-Drama-Romance,1,8.054
Action-Adventure-Crime-Drama-Romance-Thriller,1,14.394
Action-Adventure-Crime-Drama-Thriller,1,55.748000000000005
Action-Adventure-Crime-Drama-Thriller-Western,1,11.555
Action-Adventure-Crime-Fantasy-TV Movie,1,6.375
Action-Adventure-Crime-Mystery,1,36.82
Action-Adventure-Crime-Mystery-Romance,1,8.251000000000001
Action-Adventure-Crime-Mystery-Thriller,1,96.59899999999999
Action-Adventure-Crime-Romance,1,3.828
Action-Adventure-Crime-Romance-Western,1,1.4
Action-Adventure-Crime-Science Fiction,1,11.292
Action-Adventure-Crime-Science Fiction-Thriller,1,45.977000000000004
Action-Adventure-Crime-Science Fiction-Thriller-Fantasy,1,5.976
Action-Adventure-Crime-Science Fiction-Thriller-War,1,7.58
Action-Adventure-Crime-Thriller,1,96.81099999999999
Action-Adventure-Crime-Thriller-Drama,1,2.911
Action-Adventure-Crime-Thriller-Mystery-Romance,1,1.081
Action-Adventure-Crime-War,1,31.947
Action-Adventure-Crime-Western,1,2.551
Action-Adventure-Documentary,1,13.211
Action-Adventure-Documentary-Drama-Music,1,2.261
Action-Adventure-Documentary-TV Movie,1,10.644
Action-Adventure-Drama,1,723.8919999999998
Action-Adventure-Drama-Comedy,1,2.232
Action-Adventure-Drama-Crime,1,3.439
Action-Adventure-Drama-Crime-Thriller,1,1.4
Action-Adventure-Drama-Family,1,210.82299999999998
Action-Adventure-Drama-Family-TV Movie,1,19.201
Action-Adventure-Drama-Family-Western,1,5.138999999999999
Action-Adventure-Drama-Fantasy,1,132.602
Action-Adventure-Drama-Fantasy-Animation,1,64.287
Action-Adventure-Drama-Fantasy-History,1,6.338
Action-Adventure-Drama-Fantasy-Horror-Family,1,11.417
Action-Adventure-Drama-Fantasy-Mystery,1,2.302
Action-Adventure-Drama-Fantasy-Romance,1,12.273
Action-Adventure-Drama-Fantasy-Romance-Science Fiction,1,4.135
Action-Adventure-Drama-Fantasy-Science Fiction,1,3.137
Action-Adventure-Drama-Fantasy-Science Fiction-Thriller,1,6.678
Action-Adventure-Drama-Fantasy-TV Movie,1,9.184
Action-Adventure-Drama-History,1,119.268
Action-Adventure-Drama-History-Horror-Science Fiction,1,1.237
Action-Adventure-Drama-History-Romance-War,1,24.832
Action-Adventure-Drama-History-War,1,41.522
Action-Adventure-Drama-History-War-Romance,1,3.37
Action-Adventure-Drama-Horror-Science Fiction-Thriller,1,10.304
Action-Adventure-Drama-Horror-Thriller,1,5.71
Action-Adventure-Drama-Music-Romance-Western,1,10.479
Action-Adventure-Drama-Music-Western,1,2.143
Action-Adventure-Drama-Mystery,1,11.985
Action-Adventure-Drama-Mystery-Science Fiction-Thriller,1,3.643
Action-Adventure-Drama-Mystery-Thriller,1,1.989
Action-Adventure-Drama-Romance,1,110.765
Action-Adventure-Drama-Romance-History,1,5.6
Action-Adventure-Drama-Romance-Thriller,1,17.003
Action-Adventure-Drama-Romance-War,1,11.694
Action-Adventure-Drama-Romance-Western,1,3.405
Action-Adventure-Drama-Science Fiction,1,28.441
Action-Adventure-Drama-Science Fiction-TV Movie,1,41.97199999999999
Action-Adventure-Drama-Science Fiction-Thriller,1,7.996
Action-Adventure-Drama-TV Movie,1,31.920999999999996
Action-Adventure-Drama-Thriller,1,334.74200000000013
Action-Adventure-Drama-Thriller-Romance,1,3.578
Action-Adventure-Drama-Thriller-TV Movie,1,6.109
Action-Adventure-Drama-Thriller-War,1,9.766
Action-Adventure-Drama-War,1,60.660000000000004
Action-Adventure-Drama-War-History,1,2.039
Action-Adventure-Drama-War-TV Movie,1,13.549999999999999
Action-Adventure-Drama-Western,1,64.184
Action-Adventure-Drama-Western-Romance,1,1.341
Action-Adventure-Family,1,161.71599999999995
Action-Adventure-Family-Animation,1,3.156
Action-Adventure-Family-Comedy,1,55.403
Action-Adventure-Family-Drama-TV Movie,1,2.485
Action-Adventure-Family-Fantasy,1,51.336
Action-Adventure-Family-Fantasy-Romance-Science Fiction,1,4.222
Action-Adventure-Family-Fantasy-Science Fiction,1,14.102
Action-Adventure-Family-Fantasy-Science Fiction-Thriller,1,41.3
Action-Adventure-Family-Fantasy-TV Movie,1,26.998
Action-Adventure-Family-Mystery,1,1.539
Action-Adventure-Family-Science Fiction,1,50.844
Action-Adventure-Family-TV Movie,1,2.635
Action-Adventure-Family-Western,1,16.320999999999998
Action-Adventure-Fantasy,1,7335.475000000001
Action-Adventure-Fantasy-Animation,1,59.58
Action-Adventure-Fantasy-Comedy,1,1.123
Action-Adventure-Fantasy-Drama,1,36.627
Action-Adventure-Fantasy-Family,1,42.88
Action-Adventure-Fantasy-History-Science Fiction,1,4.104
Action-Adventure-Fantasy-Horror,1,38.607
Action-Adventure-Fantasy-Horror-Science Fiction-Family,1,5.867
Action-Adventure-Fantasy-Horror-Science Fiction-Thriller,1,31.092
Action-Adventure-Fantasy-Mystery,1,6.103
Action-Adventure-Fantasy-Romance,1,11.619
Action-Adventure-Fantasy-Science Fiction,1,4331.428999999998
Action-Adventure-Fantasy-Science Fiction-Animation,1,4.092
Action-Adventure-Fantasy-Science Fiction-Thriller,1,50.446
Action-Adventure-Fantasy-TV Movie,1,91.702
Action-Adventure-Fantasy-Thriller,1,6084.706
Action-Adventure-Fantasy-Thriller-Horror,1,6.311
Action-Adventure-Fantasy-War,1,21.287
Action-Adventure-History,1,105.74699999999999
Action-Adventure-History-Animation,1,31.233
Action-Adventure-History-Drama,1,14.286
Action-Adventure-History-Horror,1,2.955
Action-Adventure-History-Romance-Drama,1,14.188
Action-Adventure-History-Science Fiction,1,2.936
Action-Adventure-History-Western,1,7.264
Action-Adventure-Horror,1,127.03800000000001
Action-Adventure-Horror-Drama-Fantasy,1,1.192
Action-Adventure-Horror-Mystery-Thriller,1,2.276
Action-Adventure-Horror-Science Fiction,1,40.431
Action-Adventure-Horror-Science Fiction-Thriller,1,32.232
Action-Adventure-Horror-Thriller,1,50.3
Action-Adventure-Mystery,1,20.913
Action-Adventure-Mystery-Fantasy,1,24.02
Action-Adventure-Mystery-Science Fiction,1,11.751
Action-Adventure-Mystery-Science Fiction-Thriller,1,11.826
Action-Adventure-Mystery-Thriller,1,20.856
Action-Adventure-Romance,1,69.329
Action-Adventure-Romance-History,1,8.168
Action-Adventure-Romance-Science Fiction-Thriller,1,25.78
Action-Adventure-Romance-Western,1,15.994
Action-Adventure-Science Fiction,1,7448.650999999993
Action-Adventure-Science Fiction-Animation,1,45.85
Action-Adventure-Science Fiction-Comedy,1,362.71799999999996
Action-Adventure-Science Fiction-Comedy-Drama,1,2.819
Action-Adventure-Science Fiction-Crime,1,8.155000000000001
Action-Adventure-Science Fiction-Documentary,1,44.249
Action-Adventure-Science Fiction-Drama,1,166.127
Action-Adventure-Science Fiction-Drama-Comedy,1,2.902
Action-Adventure-Science Fiction-Drama-Fantasy,1,7.518000000000001
Action-Adventure-Science Fiction-Family,1,23.455000000000002
Action-Adventure-Science Fiction-Fantasy,1,368.31
Action-Adventure-Science Fiction-Fantasy-Comedy,1,5.75
Action-Adventure-Science Fiction-Fantasy-Comedy-Horror,1,63.744
Action-Adventure-Science Fiction-Fantasy-Crime,1,3.717
Action-Adventure-Science Fiction-Fantasy-Drama,1,1.741
Action-Adventure-Science Fiction-Fantasy-Drama-Comedy,1,4.804
Action-Adventure-Science Fiction-Fantasy-Family,1,4.601
Action-Adventure-Science Fiction-Fantasy-Thriller,1,11.475
Action-Adventure-Science Fiction-Horror,1,13.919
Action-Adventure-Science Fiction-Horror-Comedy,1,17.319000000000003
Action-Adventure-Science Fiction-Horror-Mystery,1,2.775
Action-Adventure-Science Fiction-Music,1,9.225
Action-Adventure-Science Fiction-Music-Fantasy,1,8.468
Action-Adventure-Science Fiction-Romance,1,18.935
Action-Adventure-Science Fiction-TV Movie,1,21.272
Action-Adventure-Science Fiction-Thriller,1,475.3979999999999
Action-Adventure-Science Fiction-Thriller-TV Movie,1,8.55
Action-Adventure-Science Fiction-War,1,13.349
Action-Adventure-Science Fiction-Western,1,1.474
Action-Adventure-TV Movie,1,85.80400000000002
Action-Adventure-TV Movie-War,1,7.518
Action-Adventure-Thriller,1,1032.3749999999998
Action-Adventure-Thriller-Crime,1,43.61
Action-Adventure-Thriller-Drama,1,77.54100000000001
Action-Adventure-Thriller-Drama-Science Fiction,1,16.904
Action-Adventure-Thriller-Horror,1,8.249
Action-Adventure-Thriller-Horror-Mystery,1,6.164
Action-Adventure-Thriller-Science Fiction,1,18.116
Action-Adventure-Thriller-TV Movie,1,10.88
Action-Adventure-Thriller-War,1,153.54600000000002
Action-Adventure-Thriller-War-Mystery,1,537.033
Action-Adventure-Thriller-Western,1,38.217
Action-Adventure-War,1,98.354
Action-Adventure-War-Animation,1,11.323
Action-Adventure-War-Drama,1,11.556000000000001
Action-Adventure-War-History,1,3.07
Action-Adventure-War-TV Movie,1,6.7829999999999995
Action-Adventure-War-Western,1,1.4
Action-Adventure-Western,1,150.30199999999996
Action-Adventure-Western-Drama,1,2.923
Action-Adventure-Western-Fantasy,1,5.4399999999999995
Action-Adventure-Western-Romance-Comedy,1,1.4
Action-Animation,1,606.004
Action-Animation-Adventure,1,501.25200000000007
Action-Animation-Adventure-Comedy,1,194.562
Action-Animation-Adventure-Comedy-Drama,1,14.045
Action-Animation-Adventure-Comedy-Drama-Family-Fantasy,1,23.279
Action-Animation-Adventure-Comedy-Fantasy,1,147.845
Action-Animation-Adventure-Comedy-Fantasy-Science Fiction,1,33.035
Action-Animation-Adventure-Crime,1,8.671
Action-Animation-Adventure-Crime-Science Fiction,1,21.466
Action-Animation-Adventure-Family,1,11.317
Action-Animation-Adventure-Fantasy,1,77.733
Action-Animation-Adventure-Fantasy-Mystery,1,78.876
Action-Animation-Adventure-Horror-Fantasy-Romance,1,4.597
Action-Animation-Adventure-Mystery-Science Fiction-History-Family,1,2.361
Action-Animation-Adventure-Science Fiction,1,12.305
Action-Animation-Adventure-Science Fiction-Drama-Romance,1,3.145
Action-Animation-Comedy,1,566.0559999999999
Action-Animation-Comedy-Crime,1,6.737
Action-Animation-Comedy-Crime-Drama,1,5.663
Action-Animation-Comedy-Crime-TV Movie,1,11.264
Action-Animation-Comedy-Drama,1,1.02
Action-Animation-Comedy-Drama-Fantasy-Mystery-Horror,1,11.690999999999999
Action-Animation-Comedy-Family,1,47.361
Action-Animation-Comedy-Family-Adventure,1,64.27
Action-Animation-Comedy-Fantasy,1,25.343
Action-Animation-Comedy-Fantasy-Horror-War,1,1.725
Action-Animation-Comedy-Romance,1,1.432
Action-Animation-Comedy-Science Fiction,1,15.594000000000001
Action-Animation-Comedy-TV Movie,1,35.669999999999995
Action-Animation-Comedy-Thriller,1,2.646
Action-Animation-Crime,1,26.941
Action-Animation-Crime-Drama,1,27.933
Action-Animation-Crime-Drama-Romance-Science Fiction,1,3.381
Action-Animation-Crime-Mystery,1,17.37
Action-Animation-Crime-Science Fiction,1,21.517000000000003
Action-Animation-Crime-Thriller,1,30.632
Action-Animation-Drama,1,71.38300000000001
Action-Animation-Drama-Fantasy,1,366.159
Action-Animation-Drama-Fantasy-Romance,1,43.429
Action-Animation-Drama-History,1,22.643
Action-Animation-Drama-Horror-Romance-Science Fiction,1,10.91
Action-Animation-Drama-Mystery,1,15.292
Action-Animation-Drama-Mystery-Thriller-Fantasy,1,6.637
Action-Animation-Drama-Romance,1,36.107
Action-Animation-Drama-Romance-Thriller,1,5.777
Action-Animation-Drama-Science Fiction,1,20.008
Action-Animation-Drama-Science Fiction-Thriller,1,17.591
Action-Animation-Drama-Science Fiction-War,1,21.465
Action-Animation-Family,1,102.41300000000001
Action-Animation-Family-Adventure-Science Fiction,1,27.44
Action-Animation-Family-Fantasy-Music,1,1.4
Action-Animation-Family-Science Fiction,1,6.954000000000001
Action-Animation-Family-Science Fiction-TV Movie,1,24.156
Action-Animation-Fantasy,1,494.764
Action-Animation-Fantasy-Adventure,1,42.801
Action-Animation-Fantasy-Comedy,1,51.961999999999996
Action-Animation-Fantasy-Drama,1,35.834
Action-Animation-Fantasy-Horror,1,18.829
Action-Animation-Fantasy-Romance,1,2.265
Action-Animation-Fantasy-Science Fiction,1,431.536
Action-Animation-Fantasy-Science Fiction-Horror,1,2.254
Action-Animation-History,1,23.539
Action-Animation-Horror,1,69.42
Action-Animation-Music,1,2.946
Action-Animation-Music-Science Fiction,1,14.109
